chapter,mission,targetScore1,targetScore2,targetScore3,empathy,passion,stamina,wisdom,cardRestrictions,cardBonuses
1,2,2554,2763,2972,200,30,30,150,"Jin,ALL",
1,4,3153,3411,3670,30,200,30,150,"Jin,ALL",
1,7,3793,4105,4416,150,30,200,30,"Jin,ALL",
1,9,4391,4752,5113,30,150,30,200,"Jin,ALL",
1,12,5244,5658,6072,30,200,150,30,"Jin,ALL",
2,2,11176,12178,13180,30,170,10,200,"Jin,ALL|Jin,ALL",
2,5,11501,12530,13559,10,30,170,200,"Jin,ALL|Jin,ALL",
2,7,11734,12782,13829,30,200,10,170,"Jin,ALL|Jin,ALL",
2,9,11968,13033,14098,170,10,30,200,"Jin,ALL|Jin,ALL",
2,11,12201,13284,14368,200,30,170,10,"Jin,ALL|Jin,ALL",
3,1,19626,21443,23260,200,20,20,180,"Jin,ALL|Jin,ALL|Jin,ALL",
3,3,19984,21831,23678,20,200,180,20,"Jin,ALL|Jin,ALL|Jin,ALL",
3,5,20341,22218,24096,200,180,20,20,"Jin,ALL|Jin,ALL|Jin,ALL",
3,7,20697,22605,24513,180,20,200,20,"Jin,ALL|Jin,ALL|Jin,ALL",
3,10,21206,23159,25112,20,180,200,20,"Jin,ALL|Jin,ALL|Jin,ALL",
4,1,22513,24595,26678,200,20,180,10,"Jin,ALL|Jin,ALL|Jin,ALL",
4,4,23047,25177,27307,180,200,10,20,"Jin,ALL|Jin,ALL|Jin,ALL",
4,6,23419,25582,27744,180,20,200,10,"Jin,ALL|Jin,ALL|Jin,ALL",
4,9,23952,26162,28373,20,10,180,200,"Jin,ALL|Jin,ALL|Jin,ALL",
4,12,24485,26743,29001,200,180,10,20,"Jin,ALL|Jin,ALL|Jin,ALL",
5,2,35233,38556,41879,10,10,200,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
5,4,35759,39129,42499,10,200,200,10,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
5,6,36284,39701,43118,10,200,10,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
5,8,36809,40273,43737,10,10,200,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
5,10,37334,40845,44356,10,200,200,10,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
6,1,40639,44473,48306,200,20,5,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
6,3,41204,45089,48973,5,200,20,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
6,5,41769,45705,49640,200,200,5,20,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
6,7,42334,46321,50307,200,5,20,200,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
6,10,43155,47218,51281,200,20,200,5,"Jin,ALL|Jin,ALL|Jin,ALL|Jin,ALL",
1,2,2554,2763,2972,30,30,150,200,"Suga,ALL",
1,5,3194,3456,3719,200,30,30,150,"Suga,ALL",
1,8,3834,4150,4465,30,200,150,30,"Suga,ALL",
1,10,4432,4797,5162,200,30,30,150,"Suga,ALL",
1,12,5244,5658,6072,150,30,200,30,"Suga,ALL",
2,3,11267,12278,13289,200,170,10,30,"Suga,ALL|Suga,ALL",
2,5,11501,12530,13559,10,200,30,170,"Suga,ALL|Suga,ALL",
2,7,11734,12782,13829,170,30,10,200,"Suga,ALL|Suga,ALL",
2,9,11968,13033,14098,30,170,200,10,"Suga,ALL|Suga,ALL",
2,11,12201,13284,14368,200,10,30,170,"Suga,ALL|Suga,ALL",
3,1,19626,21443,23260,20,200,180,20,"Suga,ALL|Suga,ALL|Suga,ALL",
3,3,19984,21831,23678,180,20,20,200,"Suga,ALL|Suga,ALL|Suga,ALL",
3,6,20492,22385,24277,20,200,180,20,"Suga,ALL|Suga,ALL|Suga,ALL",
3,8,20849,22771,24694,200,20,180,20,"Suga,ALL|Suga,ALL|Suga,ALL",
3,10,21206,23159,25112,180,20,20,200,"Suga,ALL|Suga,ALL|Suga,ALL",
4,1,22513,24595,26678,180,200,20,10,"Suga,ALL|Suga,ALL|Suga,ALL",
4,5,23207,25353,27499,10,20,200,180,"Suga,ALL|Suga,ALL|Suga,ALL",
4,7,23579,25758,27936,20,200,180,10,"Suga,ALL|Suga,ALL|Suga,ALL",
4,9,23952,26162,28373,200,10,180,20,"Suga,ALL|Suga,ALL|Suga,ALL",
4,12,24485,26743,29001,20,180,10,200,"Suga,ALL|Suga,ALL|Suga,ALL",
5,3,35469,38815,42162,200,10,200,10,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
5,5,35994,39388,42781,200,200,10,10,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
5,7,36519,39960,43401,10,200,10,200,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
5,9,37044,40531,44019,10,10,200,200,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
5,12,37804,41363,44921,10,200,200,10,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
6,2,40894,44753,48612,5,200,20,200,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
6,4,41459,45369,49279,200,200,5,20,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
6,6,42024,45985,49946,200,20,200,5,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
6,8,42589,46601,50613,20,5,200,200,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
6,10,43155,47218,51281,5,200,20,200,"Suga,ALL|Suga,ALL|Suga,ALL|Suga,ALL",
1,3,2595,2808,3021,30,30,150,200,"J-Hope,ALL",
1,5,3194,3456,3719,150,30,200,30,"J-Hope,ALL",
1,7,3793,4105,4416,200,150,30,30,"J-Hope,ALL",
1,9,4391,4752,5113,30,30,200,150,"J-Hope,ALL",
1,11,5203,5613,6023,200,150,30,30,"J-Hope,ALL",
2,2,11176,12178,13180,10,200,30,170,"J-Hope,ALL|J-Hope,ALL",
2,4,11411,12431,13451,30,10,200,170,"J-Hope,ALL|J-Hope,ALL",
2,6,11644,12682,13720,200,170,10,30,"J-Hope,ALL|J-Hope,ALL",
2,10,12058,13132,14206,170,30,10,200,"J-Hope,ALL|J-Hope,ALL",
2,12,12291,13384,14476,170,200,30,10,"J-Hope,ALL|J-Hope,ALL",
3,3,19929,21776,23623,20,20,200,180,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
3,5,20286,22163,24041,200,20,180,20,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
3,7,20643,22551,24459,20,20,180,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
3,9,21000,22938,24876,20,180,200,20,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
3,11,21357,23325,25293,180,200,20,20,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
4,2,22673,24771,26870,10,20,180,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
4,4,23047,25177,27307,180,10,200,20,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
4,7,23579,25758,27936,20,200,180,10,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
4,9,23952,26162,28373,10,180,20,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
4,11,24325,26567,28809,200,20,10,180,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
5,3,35469,38815,42162,10,200,200,10,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
5,6,36229,39646,43063,200,200,10,10,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
5,8,36755,40219,43683,200,10,200,10,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
5,10,37279,40790,44301,10,200,10,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
5,12,37804,41363,44921,10,10,200,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
6,2,40894,44753,48612,20,200,5,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
6,4,41459,45369,49279,200,20,200,5,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
6,6,42024,45985,49946,200,200,5,20,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
6,9,42844,46882,50919,5,200,20,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
6,11,43410,47499,51587,200,5,20,200,"J-Hope,ALL|J-Hope,ALL|J-Hope,ALL|J-Hope,ALL",
1,3,2595,2808,3021,150,30,200,30,"RM,ALL",
1,5,3194,3456,3719,200,150,30,30,"RM,ALL",
1,7,3793,4105,4416,30,30,150,200,"RM,ALL",
1,9,4391,4752,5113,30,200,30,150,"RM,ALL",
1,11,5203,5613,6023,150,30,200,30,"RM,ALL",
2,2,11176,12178,13180,200,170,10,30,"RM,ALL|RM,ALL",
2,4,11411,12431,13451,30,10,170,200,"RM,ALL|RM,ALL",
2,6,11644,12682,13720,10,170,200,30,"RM,ALL|RM,ALL",
2,9,11968,13033,14098,30,200,10,170,"RM,ALL|RM,ALL",
2,11,12201,13284,14368,30,10,170,200,"RM,ALL|RM,ALL",
3,2,19777,21609,23441,200,20,180,20,"RM,ALL|RM,ALL|RM,ALL",
3,4,20135,21997,23859,20,200,180,20,"RM,ALL|RM,ALL|RM,ALL",
3,6,20492,22385,24277,180,20,20,200,"RM,ALL|RM,ALL|RM,ALL",
3,8,20849,22771,24694,20,200,20,180,"RM,ALL|RM,ALL|RM,ALL",
3,11,21357,23325,25293,20,180,200,20,"RM,ALL|RM,ALL|RM,ALL",
4,2,22673,24771,26870,180,200,20,10,"RM,ALL|RM,ALL|RM,ALL",
4,4,23047,25177,27307,180,20,10,200,"RM,ALL|RM,ALL|RM,ALL",
4,6,23419,25582,27744,20,180,200,10,"RM,ALL|RM,ALL|RM,ALL",
4,9,23952,26162,28373,10,200,20,180,"RM,ALL|RM,ALL|RM,ALL",
4,11,24325,26567,28809,200,10,180,20,"RM,ALL|RM,ALL|RM,ALL",
5,1,34998,38298,41597,10,10,200,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
5,3,35524,38870,42217,200,10,10,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
5,5,36049,39443,42836,10,200,10,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
5,7,36573,40014,43455,10,200,200,10,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
5,10,37334,40845,44356,200,10,10,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
6,2,40894,44753,48612,200,5,200,20,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
6,5,41714,45650,49585,5,200,20,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
6,7,42279,46266,50252,200,200,5,20,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
6,9,42844,46882,50919,200,20,5,200,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
6,11,43410,47499,51587,200,20,200,5,"RM,ALL|RM,ALL|RM,ALL|RM,ALL",
1,2,2554,2763,2972,30,150,200,30,"Jimin,ALL",
1,5,3194,3456,3719,30,150,30,200,"Jimin,ALL",
1,7,3793,4105,4416,200,30,150,30,"Jimin,ALL",
1,9,4391,4752,5113,30,200,30,150,"Jimin,ALL",
1,11,5203,5613,6023,150,30,200,30,"Jimin,ALL",
2,1,11086,12079,13072,10,200,170,30,"Jimin,ALL|Jimin,ALL",
2,4,11967,13037,14107,30,170,30,200,"Jimin,ALL|Jimin,ALL",
2,7,11734,12782,13829,10,30,200,170,"Jimin,ALL|Jimin,ALL",
2,9,11968,13033,14098,200,30,170,10,"Jimin,ALL|Jimin,ALL",
2,11,12201,13284,14368,30,200,170,10,"Jimin,ALL|Jimin,ALL",
3,1,19626,21443,23260,20,180,20,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
3,3,19984,21831,23678,200,20,20,180,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
3,5,20341,22218,24096,180,20,200,20,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
3,9,21000,22938,24876,200,20,20,180,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
3,11,21357,23325,25293,20,20,180,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
4,2,22673,24771,26870,180,20,200,10,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
4,4,23047,25177,27307,10,200,180,20,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
4,7,23579,25758,27936,180,10,20,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
4,9,23952,26162,28373,20,200,10,180,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
4,11,24325,26567,28809,200,10,20,180,"Jimin,ALL|Jimin,ALL|Jimin,ALL",
5,1,34998,38298,41597,200,200,10,10,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
5,3,35524,38870,42217,200,10,200,10,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
5,6,36284,39701,43118,10,200,10,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
5,8,36809,40273,43737,10,200,200,10,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
5,11,37569,41104,44639,200,10,10,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
6,2,40894,44753,48612,200,200,20,5,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
6,5,41714,45650,49585,200,5,200,20,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
6,7,42279,46266,50252,5,200,20,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
6,9,42844,46882,50919,5,20,200,200,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
6,11,43410,47499,51587,200,200,5,20,"Jimin,ALL|Jimin,ALL|Jimin,ALL|Jimin,ALL",
1,2,2554,2763,2972,30,150,30,200,"V,ALL",
1,5,3194,3456,3719,30,200,150,30,"V,ALL",
1,7,3793,4105,4416,200,30,30,150,"V,ALL",
1,10,4432,4797,5162,150,30,200,30,"V,ALL",
1,12,5244,5658,6072,150,200,30,30,"V,ALL",
