chapter,mission,targetScore1,targetScore2,targetScore3,empathy,passion,stamina,wisdom,cardRestrictions,cardBonuses
1,2,2078,2230,2312,100,180,100,100,"ALL,ALL",
1,4,2174,2280,2326,100,100,100,180,"ALL,ALL",
1,6,2250,2360,2481,150,100,100,100,"ALL,ALL",
1,8,2320,2365,2636,100,150,150,100,"ALL,ALL",
1,10,4000,4700,6150,100,150,100,150,"ALL,ALL|ALL,ALL",
1,12,4200,4800,6250,150,100,100,150,"ALL,ALL|ALL,ALL",
1,14,4400,5000,6470,150,150,100,100,"ALL,ALL|ALL,ALL",
1,17,4700,5001,6680,150,100,150,100,"ALL,ALL|ALL,ALL",
1,18,4800,5940,6990,100,150,150,100,"ALL,ALL|ALL,ALL",
1,20,6000,7150,8200,150,100,100,150,"ALL,ALL|ALL,ALL",
2,2,6480,7084,8198,180,100,50,150,"ALL,ALL|ALL,ALL",
2,4,6680,7296,8928,100,150,180,50,"ALL,ALL|ALL,ALL",
2,5,6786,7496,9042,180,50,150,100,"ALL,ALL|ALL,ALL",
2,7,6988,7794,9368,150,100,50,180,"ALL,ALL|ALL,ALL",
2,8,7084,7996,9474,50,180,100,150,"ALL,ALL|ALL,ALL",
2,10,7296,8198,9696,180,50,100,150,"ALL,ALL|ALL,ALL",
2,12,7622,9054,10042,150,180,100,50,"ALL,ALL|ALL,ALL",
2,15,7920,9168,10148,150,100,50,180,"ALL,ALL|ALL,ALL",
2,17,8122,9494,10368,50,100,180,150,"ALL,ALL|ALL,ALL",
2,19,8324,9600,10484,100,180,150,50,"ALL,ALL|ALL,ALL",
3,1,13191,14295,15552,50,150,180,80,"ALL,ALL|ALL,ALL|ALL,ALL",
3,2,13356,14613,15717,180,150,50,80,"ALL,ALL|ALL,ALL|ALL,ALL",
3,5,13827,14766,16035,180,50,150,80,"ALL,ALL|ALL,ALL|ALL,ALL",
3,6,13977,15081,17595,150,80,50,180,"ALL,ALL|ALL,ALL|ALL,ALL",
3,8,14475,15429,17952,50,150,80,180,"ALL,ALL|ALL,ALL|ALL,ALL",
3,10,14793,15732,18297,180,50,80,150,"ALL,ALL|ALL,ALL|ALL,ALL",
3,11,14946,15897,18465,50,80,180,150,"ALL,ALL|ALL,ALL|ALL,ALL",
3,13,15261,16215,18630,150,180,80,50,"ALL,ALL|ALL,ALL|ALL,ALL",
3,14,15609,17955,19155,50,150,180,80,"ALL,ALL|ALL,ALL|ALL,ALL",
3,16,15912,18132,19500,80,50,150,180,"ALL,ALL|ALL,ALL|ALL,ALL",
