id,member,contextStrings,affinity1,dialogKey1,affinity2,dialogKey2,affinity3,dialogKey3,dialogString1,dialogString2,dialogString3
14010204-6,Jin,"[""rImportant late-night snack time at the temporary dorm! But who poured the sauce all over the sweet and sour pork?!"","">@Taehyung yep he's the one who poured the sweet and sour sauce""]",168,SNS_M_Jin_12_01_06,140,SNS_M_Jin_12_01_10,112,SNS_M_Jin_12_01_14,2You have to pour the sauce on sweet and sour pork!,(You have to dip each piece in the sauce!,>You have to make sure the pork pieces are soaked in the sauce!
14010613-8,Jin,"[""-Stars aren't the only things that shine..."",""O@SeokJin Oh!! Just so that you're aware I think it's a very romantic caption!!!""]",140,SNS_M_Jin_49_01_08,168,SNS_M_Jin_49_01_12,112,SNS_M_Jin_49_01_16,What else is shining?,"$Your face was also shining, Seok Jin",???????
14011323-2,Jin,"[""{12 more flight hours remaining until we arriveI can't sleep, either... Please recommend me things to do on the plane gogo""]",140,SNS_M_Jin_119_02_01,112,SNS_M_Jin_119_03_01,168,SNS_M_Jin_119_04_01,Let's talk,Read a book,Watch a movie
14011423-3,V,"[""#<color=#3a72bd>MICDrop</color> #MVShootinProgressHonestly, my heart almost stopped when the car exploded!!Quiz time! Who's the biggest scaredy-cat in BTS? SeokJinie vs. jway-hope"",""AWhy does it matter? It's like trying to compare heights of acorns""]",168,SNS_M_V_128_02_01,112,SNS_M_V_128_03_01,140,SNS_M_V_128_04_01,SeokJinie?,Hoseok?,The vote is meaningless
14011602-2,Jin,"[""What Past SeokJinie did for Future SeokJinie hyung:1. Eat Jin vegetables2. Worked out after avoiding it for a week3. Leveled up in a game4. Taught Jungoogi dongsaeng stuff""]",140,SNS_M_Jin_138_02_01,112,SNS_M_Jin_138_03_01,168,SNS_M_Jin_138_04_01,Future SeokJinie likes this post,"""Future Jungoogi dislikes this post",(Documentary greenlit again! Grats grats!
14020215-2,Suga,"[""UMake sure to make saving your way of life. #Byebyefile #ha #rage #allinvain #shupshup""]",140,SNS_M_Suga_18_01_02,168,SNS_M_Suga_18_01_05,112,SNS_M_Suga_18_01_08,+Is this a campaign to promote saving files?,What's shupshup?,It worked out in the end.
14020701-2,Suga,"[""lHello I'm SUGA and lately I'm really into taking photos, so here's one I took recently#SUGAsPOV #Sunapshot""]",140,SNS_M_Suga_54_02_01,168,SNS_M_Suga_54_03_01,112,SNS_M_Suga_54_04_01,Whoa it's SUGA's POV!!,Pretty good!,Do you have a selfie?
14020909-8,Suga,"[""Hello this is SUGA here with breaking, hot-off-the-press news that my review of The Most Beautiful Moment in Life, Pt. 1 is complete haha...Full video to follow asap shup"",""&@Hoseok thaaank you for falling for it""]",168,SNS_M_Suga_80_02_01,140,SNS_M_Suga_80_03_01,112,SNS_M_Suga_80_04_01,Looking forward to it,Is your face in the video?,★★★★★
14021006-8,Suga,"[""[Major Announcement] Hobi and I have created our live channel, Hwagae Marketplace lolBut thinking about how we have to think up more stuff to do makes me... shupshup :("",""@Jeongguk good boy :D""]",168,SNS_M_Suga_89_02_01,112,SNS_M_Suga_89_03_01,140,SNS_M_Suga_89_04_01,Run and don't look back,I have a recommendation!,Hwagae Marketplace forever
14021114-2,Suga,"[""gI'm the only one who buys you lamb skewers huh, Jeongguk?#Jeongguk #ItsMeSUGAhyung #Hyungisthebesthuh""]",168,SNS_M_Suga_98_02_01,140,SNS_M_Suga_98_03_01,112,SNS_M_Suga_98_04_01,Jeongguk must've been happy!,)So SUGA influences Jeongguk the most huh?,!I really like Lamb Skewers too...
